
Group,Class,Sub-Class,Description,
"SECTION A: Agriculture, forestry and fishing",,,,
,"DIVISION 01: Crop and animal production, hunting and related service activities",,,
011,,,Growing of non-perennial crops,
,0111,,"Growing of cereals (except rice), leguminous crops and oil seeds",
,,,"This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields, for obtaining crops or for seed production. The growing of these crops is often combined within agricultural units.

This class excludes:
-	growing of rice, see 0112
-	growing of sweet corn, see 0113
-	growing of maize, lupines, kale for fodder, see 0119
-	growing of oleaginous fruits, see 0126",
,,011101,Growing of wheat,
,,011102,Growing of Bajra and Jowar and other millets,
,,011103,Growing of other cereals (except rice) including pseudo-cereals,
,,011104,Growing of gram,
,,011105,"Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds",
,,011106,Growing of Rapeseed and Mustard,
,,011107,Growing of Groundnut,
,,011108,Growing of Soyabean,
,,011199,Growing of other oil seeds,
,0112,,Growing of rice,
,,011201,Growing of basmati paddy,
,,011202,Growing of non-basmati paddy,
,0113,,"Growing of vegetables and melons, roots and tubers",
,,,"This class excludes:
-	spices and aromatic crops, see 0128
-	growing of mushroom spawn, see 0130
-Sun drying of fruits and vegetables, see 0163",
,,011301,"Growing of potatoes, sweet potatoes, yams, cassava and other tubers",
,,011302,"Growing of onion, garlic and other bulb vegetables",
,,011303,"Growing of  tomatoes, brinjals, cucumbers, watermelons, round melon (Tinda), melons, chillies, capsicum and other fruit-bearing vegetables",
,,011304,"Growing of asparagus, cauliflower, broccolli and other stem vegetables",
,,011305,"Growing of cabbage, lettuce, spinach and other leafy vegetables",
,,011306,"Growing of carrot, beets, raddish, turnip and other root vegetables",
,,011307,"Growing of mushrooms, truffles and other fungi bearing vegetables ",
,,011399,"Growing of vegetables, n.e.c. including sweet corn",
,0114,,Growing of sugar cane,
,,,"This class excludes:
-	growing of sugar beet, see 0113",
,,011400,Growing of sugar cane,
,0115,,Growing of tobacco,
,,,"This class includes:
-	growing of unmanufactured tobacco

This class excludes:
-	manufacture of tobacco products, see 1200",
,,011500,Growing of tobacco,
,0116,,Growing of fibre crops,
,,011601,Growing of cotton,
,,011602,Growing of jute,
,,011699,Growing of other fibre crops n.e.c.,
,0119,,Growing of other non-perennial crops,
,,,"This class excludes:
-	growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 0128
-	growing of beets including seeds, see 0113",
,,011901,Growing of flowers,
,,011902,Growing of fodder crops,
,,011999,Growing of other non-perennial crops n.e.c.,
012,,,Growing of perennial crops,
,0121,,Growing of grapes,
,,,"This class excludes:
-	manufacture of wine, see 1102
-	processing and preserving of grapes, see 1030",
,,012100,Growing of grapes,
,0122,,Growing of tropical and sub-tropical fruits,
,,012201,Growing of mangoes,
,,012202,Growing of bananas ,
,,012203,Growing of pineapples,
,,012204,Growing of litchis,
,,012205,Growing of guavas,
,,012206,Growing of jackfruit ,
,,012299,Growing of other tropical and subtropical fruits n.e.c.,
,0123,,Growing of citrus fruits,
,,,"This class includes the cultivation and production of citrus fruits, specifically the growing of grapefruit and pomelo, lemons and limes, oranges, as well as tangerines, mandarins, and clementines.",
,,012300,Growing of citrus fruits,
,0124,,Growing of pome fruits and stone fruits,
,,012401,Growing of apples,
,,012402,"Growing of apricots, peaches and nectarines",
,,012403,Growing of cherries and sour cherries,
,,012499,Growing of other pome fruits and stone fruits n.e.c.,
,0125,,Growing of other tree and bush fruits and nuts,
,,,"This class excludes:
-	growing of coconuts, see 0126",
,,012501,Growing of strawberries and other berries,
,,012502,"Growing of edible nuts (almonds, cashew nuts, chestnuts, hazelnuts pistachios, foxnuts, walnuts and other nuts)",
,,012599,Growing of other tree and bush fruits n.e.c,
,0126,,Growing of oleaginous fruits,
,,,"This class excludes:
-	growing of soya beans, groundnuts and other oil seeds, see 0111",
,,012601,Growing of coconuts,
,,012699,"Growing of olives, oil palms, date palms and other oleaginous fruits n.e.c.",
,0127,,Growing of beverage crops,
,,,"This class excludes:
-	Growing of grapes see 0121
-	Growing of hops see 0128",
,,012701,Growing of tea,
,,012702,Growing of coffee,
,,012703,Growing of cocoa,
,,012799,Growing of other beverage crops n.e.c.,
,0128,,"Growing of spices, aromatic, drug and pharmaceutical crops",
